"SosActive"	"RasActive"	"Raf1Active"	"MekActive"	"ErkActive"	"P90RskActive"	"PI3KActive"	"AktActive"	"C3GActive"	"Rap1Active"	"bRafActive"	"SosTot"	"RasTot"	"Raf1Tot"	"MekTot"	"ErkTot"	"P90RskTot"	"PI3KTot"	"AktTot"	"C3GTot"	"Rap1Tot"	"bRafTot"
493.15155309036624	94.53466154470917	2.261278736992077	856.0319236284823	9393.551237655161	5083.264396120746	114753.65429490998	82798.98567028911	2622.0226735220335	508.52423573899506	27.239123346208395	102677.28276217627	107594.65672115935	126425.51485941224	543551.1185107388	525812.630575266	115771.32163947346	137004.7116255821	127296.1373764909	119681.00080054394	113088.07392289731	153876.0349497725
564.0368937841147	107.89077924670569	2.6988854517546934	750.488164984098	8649.226159774274	5152.7557555920675	102596.84178497513	66816.37699772368	2387.5043251876587	476.16199815231596	23.244800974563514	118993.08727263134	106688.65787971894	112255.06421992143	541692.7233500221	565545.0713335092	128818.66234996066	122237.3879207774	106714.60308460984	108793.46842177541	127530.96641064186	105924.42398919612
524.0631747266916	101.56294927698625	2.6570202737083712	840.9882738622421	10835.726190108793	5794.747726129025	85972.19332063817	63481.08120991189	2586.1473077386413	520.224399258166	24.629065571152026	121405.98946018713	112467.08525333583	120953.61975447359	581390.9853568613	676187.9960593672	114995.2862583862	102152.96547752232	109090.1121254187	118013.11017304592	132676.51949511986	104225.38477409982
557.9550082988877	104.92769056896529	2.6269613382402204	771.1325835975009	9313.31431197813	5405.0187597458835	102744.45614608776	67853.80261905616	2242.542982840586	441.3793676444734	22.678713291874878	122291.09322856259	99900.75034185333	114375.50966952828	574055.5500627833	608625.5689905112	125373.41370971974	122416.91861995195	108348.05195475508	102081.90628099714	120281.64735774341	119362.93715359282
539.1433960125921	105.30880986497245	2.691578378242617	946.8604552591326	11056.079399215789	5098.883319913472	103327.25523995089	77574.61089941049	2747.8087171656184	525.7983278121424	26.63658700611195	112698.54863435977	116214.33542123386	142916.76684988226	612467.1232742892	578813.4953494578	97453.15734458507	123123.16365181106	124002.31330619243	125535.74332024487	107134.98837760928	123999.24221614661
559.99873878675	108.30661937016939	2.685052130042979	753.979645816623	8810.084719013419	5726.077941266902	120341.65688158134	81884.64062477686	2383.79262361682	452.88803593236725	22.435268102890987	128640.91576109974	111535.38001253743	139211.9306041874	564424.67565937	577761.9089097105	142660.23913373437	143810.03224983858	123685.00578749312	108621.44651987868	104128.45629844017	107431.67400194926
567.7114606792608	111.4532335424671	2.5376122116300985	1032.7788476418118	11484.7714797745	6540.872013807673	101204.22288905508	82340.90655208785	2537.191389341549	514.4626402946197	27.871385005077663	145671.4494095139	118759.17080258562	108902.64730795269	648529.8398083011	537954.9751222986	123926.7520149366	120549.52208693826	132955.78075583169	115738.47329529114	137770.533116802	146305.71751072377
515.2671964393966	102.84018716279186	2.6917109724647137	937.1893021058827	10772.590765891517	5932.844527586479	109165.71405961459	61081.46854076869	2615.712206255982	516.3468739493908	25.56808428964625	121658.2230723265	127734.23751058053	116384.36127519383	631306.5773826096	564883.1097523014	118872.9007316857	130208.00716798878	95068.40481472231	119387.55702893223	121877.21931954214	116650.00684338227
404.08026076670245	80.29183201293246	1.867784980092203	980.1817804073712	12842.9675554573	7227.226944366926	92925.64663534393	77424.57686536749	2903.7376623796667	574.6617218435603	27.597087720572517	112034.90738495468	125189.85779429004	107798.97605479043	633502.888045805	696453.3755178851	123001.97569283422	110543.88662158446	129354.0562364285	132808.2011569414	123275.89481745531	123063.94672153152
585.646781265513	114.34309642726352	2.8655369726170847	759.4477815326911	9169.663657257062	4741.570660502838	98297.68917250262	68072.65504969233	2898.560048928826	555.9729893907416	27.57345759825405	115763.80878625186	116010.04852831032	115048.8306917641	460143.26273177675	608257.6486663792	109833.0386917133	117030.53305994856	110663.48800752201	132566.45768339126	108175.56442640739	114779.34397097172
